FileName,Class,TotalFrames,ClassEncoded
2giTb7IpJDU_E_001909_001914_A_0000_0005.mp4,0,162,0
I749IS2IeFY_E_003624_003633_A_0000_0008.mp4,0,243,0
I749IS2IeFY_E_003730_003739_A_0000_0007.mp4,0,223,0
OIJe8fQw7Wo_E_001856_001870_A_0005_0012.mp4,0,201,0
SmM5COoXqDA_E_002201_002209_A_0000_0008.mp4,0,236,0
UyGu-WTodV0_E_002442_002452_A_0001_0009.mp4,0,234,0
UyGu-WTodV0_E_002443_002452_A_0001_0009.mp4,0,241,0
UyGu-WTodV0_E_003027_003036_A_0001_0008.mp4,0,220,0
UyGu-WTodV0_E_003028_003036_A_0000_0007.mp4,0,218,0
XZak6ktC90c_E_002021_002029_A_0001_0008.mp4,0,223,0
hmHwFuvodg0_E_003385_003393_A_0000_0007.mp4,0,225,0
hp2PJMAJqyA_E_003409_003417_A_0000_0007.mp4,0,234,0
hp2PJMAJqyA_E_003698_003705_A_0000_0007.mp4,0,225,0
nEoD3t5O3Hg_E_003599_003607_A_0000_0007.mp4,0,198,0
nEoD3t5O3Hg_E_003600_003607_A_0000_0006.mp4,0,188,0
nEoD3t5O3Hg_E_003696_003704_A_0000_0007.mp4,0,228,0
pEoWudMTZbY_E_000623_000630_A_0000_0006.mp4,0,188,0
q3kjkmjtTBk_E_003062_003071_A_0000_0008.mp4,0,248,0
qfBalcxF8JY_E_001112_001119_A_0000_0006.mp4,0,187,0
wmOIRMcB93U_E_000316_000324_A_0000_0007.mp4,0,204,0
yvZPHJu3kb0_E_001931_001939_A_0000_0008.mp4,0,244,0
1JsRXIoR3C0_E_002480_002488_A_0000_0008.mp4,1,238,1
I749IS2IeFY_E_003178_003185_A_0000_0007.mp4,1,213,1
I749IS2IeFY_E_004031_004038_A_0000_0006.mp4,1,200,1
ICL5k84viw0_E_002578_002586_A_0000_0008.mp4,1,239,1
ICL5k84viw0_E_003200_003207_A_0000_0007.mp4,1,213,1
LHZAh32EoC8_E_001872_001879_A_0000_0006.mp4,1,200,1
MVLZz2J6tcE_E_003776_003784_A_0000_0007.mp4,1,224,1
OIJe8fQw7Wo_E_002185_002192_A_0000_0007.mp4,1,216,1
SmM5COoXqDA_E_002011_002019_A_0000_0007.mp4,1,194,1
SmM5COoXqDA_E_002838_002845_A_0000_0007.mp4,1,192,1
SmM5COoXqDA_E_003863_003871_A_0000_0007.mp4,1,222,1
TXpgPT5Jdiw_E_000753_000760_A_0000_0006.mp4,1,187,1
UcCTusldh6w_E_004567_004574_A_0000_0006.mp4,1,199,1
YesOPAkCA40_E_005808_005816_A_0000_0007.mp4,1,227,1
YesOPAkCA40_E_005962_005977_A_0000_0015.mp4,1,453,1
Z0bBRwAzKe0_E_002251_002259_A_0000_0007.mp4,1,232,1
hp2PJMAJqyA_E_003212_003220_A_0000_0007.mp4,1,227,1
hp2PJMAJqyA_E_004169_004176_A_0000_0007.mp4,1,189,1
iSQqsVFkQAA_E_003031_003038_A_0000_0006.mp4,1,208,1
jR0OFsCYcD4_E_005578_005586_A_0000_0007.mp4,1,202,1
l-ctNiOuCBc_E_002823_002830_A_0000_0007.mp4,1,214,1
l-ctNiOuCBc_E_003046_003052_A_0000_0006.mp4,1,196,1
l-ctNiOuCBc_E_003267_003273_A_0000_0005.mp4,1,169,1
l-ctNiOuCBc_E_003507_003513_A_0000_0006.mp4,1,188,1
l-ctNiOuCBc_E_004685_004693_A_0000_0008.mp4,1,242,1
l-ctNiOuCBc_E_004711_004719_A_0000_0007.mp4,1,228,1
mgtMKd072Pg_E_003017_003026_A_0000_0008.mp4,1,244,1
oShVYr-GRqw_E_002703_002709_A_0000_0006.mp4,1,196,1
oShVYr-GRqw_E_003014_003022_A_0000_0007.mp4,1,226,1
oShVYr-GRqw_E_003015_003022_A_0000_0007.mp4,1,218,1
oShVYr-GRqw_E_003297_003304_A_0000_0006.mp4,1,197,1
pDymfQS91xI_E_000583_000590_A_0000_0007.mp4,1,216,1
pEoWudMTZbY_E_000510_000515_A_0000_0005.mp4,1,163,1
pEoWudMTZbY_E_000534_000541_A_0000_0007.mp4,1,232,1
q3kjkmjtTBk_E_002874_002881_A_0000_0006.mp4,1,205,1
q3kjkmjtTBk_E_003700_003706_A_0000_0006.mp4,1,181,1
q3kjkmjtTBk_E_004723_004732_A_0000_0008.mp4,1,259,1
s7pyZPf6fKU_E_001773_001779_A_0000_0005.mp4,1,177,1
s7pyZPf6fKU_E_002198_002204_A_0000_0006.mp4,1,182,1
s7pyZPf6fKU_E_002219_002231_A_0000_0012.mp4,1,351,1
uDZVn-K4GE4_E_003239_003245_A_0000_0006.mp4,1,184,1
uDZVn-K4GE4_E_003284_003291_A_0000_0007.mp4,1,226,1
uDZVn-K4GE4_E_003693_003700_A_0000_0006.mp4,1,200,1
vY-jPM995Gk_E_003153_003160_A_0000_0007.mp4,1,212,1
vY-jPM995Gk_E_004862_004869_A_0000_0006.mp4,1,202,1
wWZry3-5sF0_E_003238_003245_A_0000_0006.mp4,1,192,1
yXGu3dfnhck_E_004790_004796_A_0000_0006.mp4,1,182,1
yj0pNXcTK0k_E_002608_002616_A_0000_0008.mp4,1,225,1
yj0pNXcTK0k_E_003164_003172_A_0000_0007.mp4,1,210,1
yvZPHJu3kb0_E_001585_001592_A_0000_0007.mp4,1,195,1
yvZPHJu3kb0_E_001783_001791_A_0000_0007.mp4,1,216,1
0LtLS9wROrk_E_005647_005654_A_0000_0007.mp4,10,208,10
FNEeMvHmuEw_E_000650_000660_A_0002_0009.mp4,10,215,10
FNEeMvHmuEw_E_000652_000660_A_0000_0007.mp4,10,222,10
FNEeMvHmuEw_E_000845_000852_A_0000_0006.mp4,10,189,10
FNEeMvHmuEw_E_001933_001940_A_0000_0007.mp4,10,209,10
FNEeMvHmuEw_E_003228_003235_A_0000_0007.mp4,10,214,10
FNEeMvHmuEw_E_004589_004596_A_0000_0007.mp4,10,196,10
FNEeMvHmuEw_E_004666_004674_A_0000_0007.mp4,10,216,10
GCyW1jPfWdg_E_001975_001983_A_0000_0007.mp4,10,221,10
GCyW1jPfWdg_E_003612_003620_A_0000_0008.mp4,10,241,10
GCyW1jPfWdg_E_005441_005450_A_0001_0008.mp4,10,217,10
GCyW1jPfWdg_E_005442_005450_A_0000_0007.mp4,10,215,10
GCyW1jPfWdg_E_009257_009264_A_0000_0007.mp4,10,213,10
GEjRXo8Dvwc_E_000185_000192_A_0000_0006.mp4,10,191,10
GEjRXo8Dvwc_E_001361_001367_A_0000_0006.mp4,10,195,10
GEjRXo8Dvwc_E_001451_001459_A_0000_0007.mp4,10,237,10
GEjRXo8Dvwc_E_001887_001895_A_0000_0006.mp4,10,201,10
GF8D7Dx2mhs_E_001341_001349_A_0000_0007.mp4,10,212,10
GF8D7Dx2mhs_E_001462_001470_A_0000_0006.mp4,10,189,10
GF8D7Dx2mhs_E_001708_001715_A_0000_0006.mp4,10,203,10
GF8D7Dx2mhs_E_005184_005191_A_0000_0006.mp4,10,196,10
GF8D7Dx2mhs_E_005755_005765_A_0000_0010.mp4,10,299,10
GbUQwE9N3aM_E_002601_002607_A_0000_0005.mp4,10,177,10
GbUQwE9N3aM_E_004709_004716_A_0000_0007.mp4,10,216,10
GbUQwE9N3aM_E_005423_005429_A_0000_0005.mp4,10,177,10
GbUQwE9N3aM_E_006068_006075_A_0000_0006.mp4,10,200,10
Gng3ezTNGog_E_000447_000454_A_0000_0006.mp4,10,203,10
Gng3ezTNGog_E_000637_000647_A_0000_0009.mp4,10,295,10
Gng3ezTNGog_E_000739_000745_A_0000_0006.mp4,10,192,10
I1OMnMSk1Lg_E_000320_000327_A_0000_0006.mp4,10,204,10
I1OMnMSk1Lg_E_002863_002870_A_0000_0007.mp4,10,217,10
I1OMnMSk1Lg_E_003840_003846_A_0000_0006.mp4,10,189,10
I1OMnMSk1Lg_E_004192_004200_A_0000_0008.mp4,10,243,10
I749IS2IeFY_E_002756_002764_A_0000_0007.mp4,10,231,10
